"fips","stname","Ctyname","cases_2018","ststatus","pop_2018","pct_uninsured","incidence_2018","active_months_10c","mean_annual_temp_c","canopy_pct","coverage_wt"
36015,"New York","Chemung County",21,"High Incidenc",84254,4.1,24.9246326583901,5,8.69,52.3974505182846,1.00000000000006
36017,"New York","Chenango County",83,"High Incidenc",47536,4.9,174.604510265904,5,7.67,59.9995047587952,1.00000000000001
36019,"New York","Clinton County",42,"High Incidenc",80695,5,52.0478344383171,5,6.41,0,0
36021,"New York","Columbia County",129,"High Incidenc",59916,5.8,215.301421990787,6,9.47,54.4896899488735,1.00000000000003
36023,"New York","Cortland County",22,"High Incidenc",47823,4.4,46.0029692825628,5,7.33,51.063857740202,1.00000000000001
36025,"New York","Delaware County",38,"High Incidenc",44527,5.8,85.3414782042356,5,7.29,69.6924524128311,1
36027,"New York","Dutchess County",292,"High Incidenc",293718,5.1,99.415085217794,6,10.09,55.5952186840346,1.00000000000008
36029,"New York","Erie County",66,"High Incidenc",919719,4.4,7.17610487551089,5,8.96,28.8451522219949,0.720352168508554
36031,"New York","Essex County",17,"High Incidenc",37300,4.5,45.5764075067024,5,5.5,30.8254722604979,0.382405687396111
36033,"New York","Franklin County",23,"High Incidenc",50293,6.8,45.732010418945,5,5.62,0,0
36035,"New York","Fulton County",29,"High Incidenc",53591,5.1,54.1135638446754,5,7.24,68.0926616039213,0.99999999999998
36037,"New York","Genesee County",6,"High Incidenc",57511,4.5,10.4327867712264,5,8.64,11.5993926012708,0.586087393534308
36039,"New York","Greene County",69,"High Incidenc",47491,5.6,145.290686656419,5,7.95,69.2787833730028,1.00000000000002
36041,"New York","Hamilton County",1,"High Incidenc",4434,6.3,22.55299954894,5,5.12,51.5021572190114,0.627226535279259
36043,"New York","Herkimer County",31,"High Incidenc",61833,4.9,50.1350411592515,5,6.13,28.8271567091567,0.53051327757519
36045,"New York","Jefferson County",14,"High Incidenc",111755,4.8,12.5274036955841,5,7.57,9.75933170144541,0.249012528386241
36047,"New York","Kings County",281,"High Incidenc",2582830,7.8,10.8795391102008,6,13.11,1.4086940655656,0.273514428129447
36049,"New York","Lewis County",14,"High Incidenc",26447,5.1,52.936060800847,5,6.21,14.6355097914613,0.214839925912638
36051,"New York","Livingston County",13,"High Incidenc",63227,4.5,20.5608363515587,5,9.01,30.1026481939961,1.00000000000001
